---------- Begin SLURM Prolog ----------
Job ID:        7313753
Username:      sportega
Accountname:   lc_an2
Name:          c
Partition:     main
Nodelist:      hpc3888
TasksPerNode:  16
CPUsPerTask:   Default[1]
TMPDIR:        /tmp/7313753.main
SCRATCHDIR:    /staging/scratch/7313753
Cluster:       uschpc
HSDA Account:  false
---------- 2020-05-12 05:34:40 ---------
LAMMPS (7 Aug 2019)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (../comm.cpp:93)
  using 1 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading restart file ...
  restart file = 7 Aug 2019, LAMMPS = 7 Aug 2019
  restoring atom style full from restart
  orthogonal box = (0 0 0) to (150 150 288.378)
  1 by 1 by 16 MPI processor grid
  restoring pair style lj/cut/tip4p/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  5084 atoms
  976 bonds
  488 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:   0          0          0         
  special bond factors coul: 0          0          0         
  2 = max # of 1-2 neighbors
  1 = max # of 1-3 neighbors
  1 = max # of 1-4 neighbors
  2 = max # of special neighbors
  special bonds CPU = 0.000956059 secs
  read_restart CPU = 0.057318 secs
1464 atoms in group 5Water_atoms
3620 atoms in group 6CNT_atoms
976 atoms in group 8Hydrogen
488 atoms in group 7Oxygen
Finding SHAKE clusters ...
  0 = # of size 2 clusters
  0 = # of size 3 clusters
  0 = # of size 4 clusters
  488 = # of frozen angles
  find clusters CPU = 0.000634909 secs
PPPM initialization ...
  extracting TIP4P info from pair style
  using 12-bit tables for long-range coulomb (../kspace.cpp:323)
  G vector (1/distance) = 0.243104
  grid = 64 64 108
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00402049
  estimated relative force accuracy = 1.21076e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 61893 28672
No /omp style for force computation currently active
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.3154
  ghost atom cutoff = 12.3154
  binsize = 6.1577, bins = 25 25 47
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/tip4p/long, perpetual
      attributes: half, newton on, omp
      pair build: half/bin/newton/omp
      stencil: half/bin/3d/newton
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 3000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 17.19 | 17.65 | 17.93 Mbytes
PotEng KinEng TotEng c_ke_H2O c_ke_CNT c_pe_sumH2O c_pe_sumCNT Temp c_temwater c_temcnt Press Pxx Pzz E_coul E_long Step 
   -5862.818    785.55191   -5077.2661    785.55191            0     -5373.14   -489.67803    57.352859    270.29373            0    58.493229    77.449108    23.495389     34460.59   -41263.411  3044000 
  -5860.7479    804.00018   -5056.7477    804.00018            0   -5368.6881   -492.05979    58.699761    276.64144            0    59.534832     77.45768    23.804569    34427.789   -41265.422  3046000 
  -5841.5501    791.00837   -5050.5417    791.00837            0   -5357.0509   -484.49923    57.751233     272.1712            0    59.795145    74.311149    25.497709    34448.314       -41262  3048000 
  -5839.1662    804.86527   -5034.3009    804.86527            0   -5351.1199   -488.04626     58.76292    276.93909            0     59.14384    79.118865    22.790274    34470.411   -41266.771  3050000 
  -5866.2209    783.21483    -5083.006    783.21483            0   -5366.5383   -499.68257     57.18223    269.48959            0    58.850954    73.520063    26.439274    34436.617   -41261.288  3052000 
  -5867.6077    794.91189   -5072.6958    794.91189            0   -5362.1422   -505.46554    58.036227    273.51432            0    58.716339    75.972802    23.259869    34441.202   -41264.418  3054000 
  -5881.4463    808.50322   -5072.9431    808.50322            0   -5384.3367   -497.10961    59.028525    278.19085            0     58.69375    78.593957    21.845928     34422.34   -41265.606  3056000 
    -5854.83    793.23332   -5061.5966    793.23332            0   -5362.0961   -492.73384    57.913676    272.93676            0    59.893857    77.279275    22.896505    34426.294   -41263.894  3058000 
    -5853.16     829.8647   -5023.2953     829.8647            0   -5360.0446   -493.11535    60.588119    285.54093            0    60.608032    77.742562    24.170427    34398.643   -41265.352  3060000 
  -5878.1251    786.72149   -5091.4036    786.72149            0   -5380.0025   -498.12258     57.43825    270.69616            0    58.159616    73.374587    26.015596    34437.751   -41264.415  3062000 
  -5901.4946    795.94364   -5105.5509    795.94364            0   -5404.7467   -496.74786    58.111555    273.86933            0    58.491942    77.063314    23.812533      34400.6   -41265.357  3064000 
  -5880.2441    779.96256   -5100.2816    779.96256            0   -5383.7113   -496.53285    56.944783    268.37054            0    58.873974    76.389285    24.700157    34425.066   -41264.043  3066000 
  -5883.9698    775.94902   -5108.0208    775.94902            0   -5389.7843   -494.18546    56.651755    266.98955            0    59.170866     77.09961    24.725495    34408.826   -41265.159  3068000 
  -5867.4629     800.5356   -5066.9273     800.5356            0   -5378.1465   -489.31644    58.446813    275.44934            0    60.015848    78.501593    25.270789    34416.812   -41268.095  3070000 
  -5869.6921    769.58989   -5100.1022    769.58989            0   -5381.1185   -488.57364    56.187478     264.8015            0      58.6837    77.825736    23.238397    34437.218   -41263.318  3072000 
  -5834.1833    780.55663   -5053.6267    780.55663            0   -5348.7664   -485.41693    56.988156    268.57495            0    60.259579    75.897897    25.956438    34450.293   -41262.826  3074000 
